roi,bp0.2-0.5_pre,bp0.5-1.0_pre,bp1.0-2.0_pre,bp2.0-5.0_pre,domfreq_pre,bp0.2-0.5_stim,bp0.5-1.0_stim,bp1.0-2.0_stim,bp2.0-5.0_stim,domfreq_stim,bp0.2-0.5_post,bp0.5-1.0_post,bp1.0-2.0_post,bp2.0-5.0_post,domfreq_post
33,0.7794419733886454,0.11449782711402748,0.047447903214385447,0.058612296282941546,0.24999999999999645,0.4800341943694345,0.29450079075521374,0.08364610814900353,0.14181890672634825,0.3999999999999943,0.25995159755866465,0.39690753961809844,0.14153409018629318,0.20160677263694396,0.3714285714285661
34,0.7282266524740342,0.09686552915837732,0.06084643900020878,0.1140613793673796,0.24999999999999645,0.540457949128514,0.3201028791791775,0.09496022694726342,0.04447894474504504,0.3999999999999943,0.32105386000066305,0.09379283370367035,0.21085225960035955,0.37430104669530706,0.3714285714285661
35,0.36368160278325,0.3496671144166427,0.24696942276914025,0.039681860030967096,0.24999999999999645,0.11632552670486554,0.3109344263990963,0.26638023452900966,0.3063598123670286,0.5999999999999914,0.3296134475685523,0.2643557427661542,0.20118165904586569,0.20484915061942785,0.45714285714285063
36,0.7284220885095565,0.13523429085246402,0.08763122803119819,0.04871239260678146,0.24999999999999645,0.16475469899795672,0.32822954403598126,0.3917259094664406,0.11528984749962144,0.3999999999999943,0.6003515165104375,0.19530723659370308,0.08797765906485233,0.11636358783100709,0.22857142857142532
37,0.5257221835522509,0.12409562870560938,0.17372745013723298,0.1764547376049069,0.24999999999999645,0.6243968272468939,0.24066756011803653,0.08584754685994855,0.049088065775121,0.3999999999999943,0.49291262595971014,0.35212851270627266,0.09580957752463852,0.0591492838093786,0.4285714285714225
38,0.6632050067174707,0.11511772802558878,0.09890988015985792,0.12276738509708274,0.24999999999999645,0.5236353709809374,0.44392886470598575,0.014508137660803725,0.017927626652273116,0.3999999999999943,0.3575313076513038,0.34315780711273064,0.20534640785796388,0.09396447737800173,0.31428571428570984
39,0.8028211266255734,0.1005605191424153,0.0644342257255329,0.032184128506478615,0.24999999999999645,0.08193444353337363,0.5591331342309447,0.26894362163969887,0.08998880059598277,0.7999999999999886,0.32346386187537873,0.4170959424782864,0.1823314126969648,0.07710878294937014,0.5999999999999914
40,0.5797424772822455,0.14224750380173964,0.11481371125420972,0.16319630766180507,0.24999999999999645,0.15707372068742542,0.5443353034155017,0.20029678036873544,0.09829419552833746,0.9999999999999858,0.5410970224789108,0.29265655133379254,0.05960827800809803,0.10663814817919874,0.3714285714285661
41,0.7855287517720215,0.05620376009550085,0.09251992671686457,0.06574756141561335,0.24999999999999645,0.3034042652245929,0.44721486488284184,0.17558933788838513,0.07379153200418025,0.3999999999999943,0.5244987601682365,0.34896399496285097,0.06851357413725771,0.05802367073165497,0.22857142857142532
42,0.6724374923344643,0.1945490361969781,0.06991979508835079,0.06309367638020666,0.24999999999999645,0.31427702245675776,0.3488003859297907,0.16860700809056786,0.16831558352288373,0.3999999999999943,0.33618810292525775,0.32716049160610183,0.0991717540097935,0.23747965145884703,0.3714285714285661
43,0.5340952647584223,0.2724897613429373,0.10621098352449788,0.08720399037414268,0.24999999999999645,0.3532698097296013,0.46158166759740044,0.13620202214189941,0.04894650053109885,0.3999999999999943,0.45433950084468405,0.35080013792463843,0.07530601335243176,0.11955434787824594,0.3714285714285661
44,0.5392601199807262,0.10944275830303715,0.20403897679140465,0.14725814492483227,0.24999999999999645,0.09159812806247114,0.7166227509831921,0.16428907313629826,0.027490047818038633,0.7999999999999886,0.41246276054972625,0.36443119009336794,0.10829676238066138,0.11480928697624435,0.45714285714285063
45,0.40533179795301894,0.2002738963506962,0.23606097986656474,0.1583333258297199,0.24999999999999645,0.380574588811921,0.33304099710559115,0.15443501736013196,0.13194939672235587,0.3999999999999943,0.37077887784662145,0.3879421241152461,0.14538657064752047,0.09589242739061185,0.5428571428571352
