roi,rate_mean_pre,rate_peak_pre,rate_active_frac_pre,rate_mean_stim,rate_peak_stim,rate_active_frac_stim,rate_mean_post,rate_peak_post,rate_active_frac_post,dff_mean_pre,dff_peak_pre,dff_mean_stim,dff_peak_stim,dff_mean_post,dff_peak_post,rate_group
38,0.34046069473801716,0.42817839159877213,0.0625,1.5088361201043292,7.094710121741041,0.62,0.6339200611707728,7.115540951053137,0.961764705882353,0.0050999993,0.038989637,0.057182506,0.2389764,-0.029904796,0.15109682,3
39,0.3961084732690544,0.7467686527131164,0.35,0.5685207661870891,0.8482510354230517,0.96,0.49327950729226494,0.6362148735541638,0.9941176470588236,-0.0068485746,0.013744488,-0.029673617,0.018952727,-0.026840117,-0.004585512,2
40,0.3462728655007102,0.4167313858319479,0.025,0.36263837719772624,0.4116185188181948,0.04,0.36560901933381595,0.4562864093648297,0.38529411764705884,0.0004531388,0.013713409,-0.0012034326,0.020635633,-0.003115003,0.016937975,1
41,0.33818330338304836,0.4062959401213302,0.025,0.4049203383830969,0.5412856251678773,0.44,0.5042238410097905,0.7582834149347937,0.5529411764705883,0.0053947465,0.025830816,-0.0033765854,0.041079592,-0.025672914,0.009183562,1
42,0.3451671151681232,0.397388512207789,0.0,0.3407553563145098,0.43661381510023006,0.08,0.2951438459306595,0.3376356825582163,0.0,0.00066359935,0.0113395825,0.006906484,0.03474368,0.02208568,0.045271367,1
43,0.3700825042886808,0.47858263085616193,0.1125,0.4345827416254789,0.4948637016128199,0.82,0.35332709564436343,0.4294460257337176,0.07058823529411765,-0.00416695,0.011466053,-0.015602292,0.0044575604,-0.00070922903,0.018969467,2
44,0.3542186110200858,0.43878801728876043,0.0625,0.40987242580344857,0.47066887253689793,0.64,0.3258053928313083,0.4113713406306725,0.014705882352941176,-0.0012409765,0.012758434,-0.010470821,0.0090802815,0.008475147,0.033200778,1
45,0.3435225677541041,0.39638247796838644,0.0,0.39487410671301154,0.4527849516809231,0.48,0.32740977032834884,0.42774594422651524,0.05,0.0021873775,0.019430416,-0.008253155,0.012967405,0.009535524,0.036348235,1
46,0.3677852361421358,0.517988483253883,0.1,0.4327948342793389,1.564408570101412,0.34,0.42308705477257635,0.8023909751894913,0.4588235294117647,-0.0039382474,0.019133396,0.0346762,0.080062315,-0.007409232,0.047323592,1
47,0.43323456798918325,0.9074299071273758,0.5125,0.5047910660906471,0.8155126736384425,0.68,0.35391104959940306,0.5355810350934603,0.21176470588235294,-0.012380151,0.009785785,-0.015455296,0.023482278,0.0058932183,0.053786818,2
