time_s,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31
8.4,-5.3816224e-05,0.0012693187,0.0023340154,0.0038227658,0.0027499853,-0.00058953604,2.1478449e-05,-0.0015186258,-0.0041627767,0.00058556267,0.0004551051,-0.002100612,0.0027326725,0.0065740384,0.0014740494,-0.0019762218,-0.00043143542,0.0043869996,0.004542073,0.0051990645,0.011963107,-0.00046364407,0.0053019496,0.0056982352,0.0013342223,0.0030670199,0.009679317,0.01113058,0.008813494,0.0062696296,0.0011033723
8.5,-0.0022347122,-0.0010542071,0.00427465,0.0034002564,-0.0010545976,-0.0011776405,-0.0007685802,-0.00177173,-0.0050971103,-0.00043527765,-0.0038977126,-0.0012266188,0.00025579572,0.005864407,0.0005536766,-0.0028744016,-0.0042196913,0.008461846,0.00024051289,0.008800915,0.013011032,0.0018295445,0.0071339663,0.0070565655,0.0047911243,-0.006130336,0.006014105,0.0111190565,0.013186638,0.0039766105,0.006103407
8.6,-0.005769686,-0.004257875,-0.00017031499,-0.0018893725,-0.0045405896,-0.0108785955,0.0012478543,-0.009296404,-0.014657174,-0.00040751285,-0.0037687523,-0.007905128,-0.001527451,0.0029003222,-0.0064031724,-0.0033902663,-0.0034983107,0.00076995685,-0.0020091806,0.0017341613,0.013808045,0.00027919988,0.014649411,0.010951194,0.0017298653,-0.012961184,0.00926496,-0.0019562682,0.0015488992,0.0007843406,-0.006796348
8.7,-0.0046221376,-0.008428686,-0.001119906,-0.0031271179,-0.006196284,-0.0073679555,-0.0015710469,-0.009015109,-0.00911858,0.0009978375,-0.0026258598,-0.009243081,-0.00026364223,0.0031719464,-0.0013141388,-0.0037545084,-0.0016217316,-0.0018637616,-0.0015300192,0.007825635,0.0108784,-0.0022798113,0.008203028,0.0047313417,0.0028723138,-0.008861103,0.007874086,-0.0016781943,0.008499391,0.0009985232,-0.0027965682
8.8,0.0009957914,-0.004444395,-2.564776e-06,-0.0018542995,0.00016016846,-0.0006827714,-0.0003057051,-0.0023678427,0.002841839,0.0065329582,0.0007155717,-0.0012200603,0.0042005773,0.003466323,0.0031827325,0.002459416,0.0017258333,0.0065775765,0.005940109,0.007803681,0.015550386,0.0006693703,0.0010140626,0.0087825805,0.0023313286,0.006824343,0.00307633,0.0073959506,0.016487595,0.012745886,0.010692214
8.9,-0.008492697,-0.00478234,0.004626163,0.0016638469,-0.008240644,-0.00623519,-0.0007825847,-0.00470823,-0.009306813,-0.002816512,-0.0006541621,-0.014410605,-0.0020291035,0.00025018275,-0.0036657508,-0.0022083044,0.0028678358,-0.004487095,0.004245136,0.013767745,0.01387752,-0.0061870893,0.013669973,0.00022839729,0.00258319,-0.0046469206,0.0096241,0.0067961016,0.0021632102,0.0048133107,-0.009557481
9.0,-0.004210992,-0.0044683237,0.004856923,0.0055796183,-0.0035086903,-0.005106221,-0.00063325145,-0.0016207867,-0.012150308,-0.005794124,-0.0022889306,-0.011786844,-0.0008324259,0.005100376,-0.0048269844,0.0038216743,0.0049050576,-0.0010882196,-0.0049889497,0.013667689,0.012262209,-0.0044699344,0.016818143,-0.0043920493,0.003356528,-0.007228352,0.011822854,-0.002014684,0.016267147,0.0051475866,-0.01086319
9.1,-0.009469168,-0.010898545,0.002475494,0.0038511115,-0.0074516744,-0.010091572,-0.0030656857,-0.00830605,-0.013841348,-0.0097171115,-0.0069744834,-0.016900927,-0.007625049,-0.0053209714,-0.00936459,-0.0022461885,-0.0030302198,-0.0021229445,-0.01057717,0.01187711,0.0090103885,-0.010204223,0.015020652,-0.007309963,0.0012326778,-0.0134465005,0.0081923045,0.0013445411,0.0029739894,0.00305935,-0.015150351
9.2,-0.0125142485,-0.009689293,-0.00033598565,0.001349561,-0.008551785,-0.010806771,-0.0073867,-0.008551003,-0.014231067,-0.015190407,-0.0061151986,-0.01584548,-0.009954325,-0.012086298,-0.010898747,-0.007049891,-0.0032391562,-0.0041546077,-0.00024159231,0.009088938,0.008926524,-0.0071426523,0.010687401,-0.01184139,0.002677809,-0.013582014,0.0055560237,-0.0007314842,0.006403283,-0.0017969201,-0.018728094
9.3,-0.009915448,-0.006403716,0.008215185,0.0138545055,-0.0067814346,-0.007997761,0.0010859678,-0.01174312,-0.015815662,-0.010885331,-0.004211351,-0.021337207,-0.0057091094,-0.0035852348,-0.006755253,0.0020497306,-0.0011541905,-0.007143503,-0.005972099,0.015339134,0.01263462,-0.009016889,0.030678706,-0.009889299,0.0054940344,-0.016395625,0.016268756,-0.0070167347,0.010361261,0.0030710343,-0.028508376
