time_s,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31
3.4,0.006447921696235426,0.00908390697077266,0.012216623240419722,0.009738530052345595,0.009138341119978577,0.011433850213506958,0.010161469817830948,0.010228003404790798,0.010743345010268968,0.009801457708817907,0.011305894031465868,0.009100045308514382,0.00926975433685584,0.011376495767763117,0.00933235431148205,0.009740169261931442,0.013161147944629192,0.011867578359670006,0.01054411695804447,0.011386032128939405,0.012893403909401968,0.011893565679201856,0.008565421463799794,0.01162191791991063,0.011823768631984422,0.01115737366490066,0.012700255156232743,0.007178659798228182,0.010276685716235079,0.009728680320222338,0.009817983300308697
3.5,0.007311399094760418,0.009288961973652476,0.013337309710550471,0.009636516770115122,0.011407311449147528,0.011607940650719684,0.01130577454205195,0.010512377180020849,0.01148302384535782,0.009424667005077936,0.008684183540026424,0.00881862171809189,0.0105551435626694,0.0076026274473406374,0.004900346539216116,0.009797821803658735,0.011648739891825244,0.012043397218803875,0.01312872307607904,0.013322497616172768,0.012200723576825112,0.012393737997626886,0.009760121811268618,0.013733397427131422,0.010458121978444979,0.0056530489018769,0.010964448811137117,0.010208974708802998,0.01285713464312721,0.011058951640734449,0.008862595132086426
3.6,0.00835135124361841,0.01046055112965405,0.01405380217875063,0.011794920155807631,0.01128395913838176,0.012605200572579633,0.012159268590039574,0.012841041443607537,0.009562189916323405,0.011709774887549429,0.008933539502322674,0.008688177156273014,0.008352036820724607,0.008945803247115691,0.0056727483297436265,0.008119682870528777,0.00963641263297177,0.007325644678530807,0.012296821237214317,0.012181158454040997,0.009824479930102825,0.011506761293276213,0.009597267453500535,0.013212035846663639,0.011676500889734598,0.007669325023016427,0.010875414416631202,0.007752920682833064,0.015442397107108263,0.010809894047270063,0.00712663972080918
3.7,0.011745194774448464,0.01236424912349321,0.013985405976200127,0.015334482213802403,0.014555255838786252,0.012380505941109732,0.01152684821136063,0.014347906690090895,0.011222030152566731,0.00874742392625194,0.010377447397331707,0.015034819953143597,0.013244102628959808,0.014906700016581453,0.010629068383423146,0.01055229724443052,0.006235356559045613,0.009708608631626703,0.013604263513116166,0.01119285348977428,0.008970733197202208,0.008190552980522625,0.008258606467279606,0.011772419384215027,0.00805043713626219,0.006420771824195981,0.01313995846430771,0.013657624731422402,0.017200703878188506,0.012160773258074187,0.010669227194739506
3.8,0.012929673539474607,0.011785785609390587,0.0123185766210554,0.014649073468717688,0.014728035121152061,0.009949068380592507,0.009532119165669428,0.017756904489942826,0.009299631346948445,0.0054878994706086814,0.008034001220948994,0.016000027608242817,0.01227256223501172,0.015195797095657326,0.011862824867421295,0.00789558446740557,0.0022361679293680936,0.010223741774098016,0.005551378390009631,0.01161247018899303,0.0067921086883870885,0.009610439774405677,0.010280112837790512,0.008306498784804717,0.009753029109447198,0.00821405203168979,0.010779972071759403,0.010348657942813588,0.01606276176062238,0.011272545079918928,0.011470656027086079
3.9,0.014540220545313787,0.012527014441729989,0.011928657932003262,0.014629314537160099,0.014818112722423393,0.011970977661803772,0.010272647596138995,0.01452871692890767,0.010630290307744872,0.010192449190071784,0.010995621778420173,0.019140045187668875,0.01521385751402704,0.015089954322320409,0.019628520240075886,0.01220258638568339,0.005309294028847944,0.010065193309856113,0.005945737648289651,0.010468150794622488,0.007618646341143176,0.01180439730433136,0.009513537370366976,0.010195578797720373,0.00924717929592589,0.015053580646053888,0.010799478041008115,0.008342023065779358,0.011143232877657283,0.011725346485036425,0.014544393079631845
4.0,0.013270492854644544,0.011796574399340898,0.012110496791137848,0.012153337665949948,0.011671747215586947,0.012012045044684783,0.011704469870892353,0.012216638083373255,0.009901667945086956,0.013386677019298077,0.008600141209171852,0.015036638287710957,0.013368974832701497,0.01359505498840008,0.012982885527890176,0.010106186455232091,0.004626701847882941,0.010981093437294476,0.00508692395669641,0.010643775458447635,0.009541983890812844,0.009343216952402145,0.011562283034436405,0.01119488020776771,0.009427274562767707,0.015420074705616571,0.00838467021821998,0.008451129572222271,0.007526541958213784,0.010524014942348003,0.009474198377574794
4.1,0.008653785275782866,0.011513198842294514,0.010546247704041889,0.012010077962258947,0.012219722630106844,0.012740607562591322,0.011788765987148508,0.011218230301892618,0.009289990180150198,0.012427921465132385,0.00811257514214958,0.012755448988173157,0.010780821976368316,0.01072103827027604,0.008510957522958051,0.008542861032765359,0.007149677112465724,0.007025073464319576,0.003053288164664991,0.009733612732816255,0.007503534943680279,0.011825899637187831,0.012221570214023814,0.013557355268858373,0.011091406577179441,0.013733158957620617,0.0070655745003023185,0.007451529700119863,0.006455297634602175,0.007341439893480128,0.005638073198497295
4.2,0.007930303927423665,0.009179110638797283,0.012580062575580087,0.010687108319871186,0.010684068656701129,0.012431214418029413,0.011404599281377159,0.012837316298828227,0.00781341923357104,0.010511036234674975,0.007764722395222634,0.007128010620363057,0.009449879580643028,0.009389366023242474,0.006726036954205483,0.00848902303914656,0.005533437324629631,0.00557264223061793,0.003957863009418361,0.00956184723690967,0.008277173430997209,0.010737101638369495,0.01261384335521143,0.01139807231083978,0.013186569522076752,0.010249550632579485,0.0071180266968440264,0.005934770408657641,0.009917776333168149,0.00862150944158202,0.004942174236930441
4.3,0.008476461443933658,0.00931670809222851,0.011787499661295442,0.011121074930997565,0.009059722397068981,0.009197036888508592,0.01187999099784065,0.01031413208693266,0.005907068916712888,0.005846197800565278,0.008468354935757816,0.007672886204090901,0.008700977050466463,0.008601079898653552,0.007367397593043279,0.009111131919752324,0.0029557300149463117,0.007100115362845827,0.003500665698084049,0.009960289462469518,0.004552911032078555,0.010445321822771803,0.011295909971522633,0.011437500943429768,0.010748873828561045,0.005275126022752374,0.008347372727257607,0.00887555930603412,0.010222177297691815,0.0084664629684994,0.005248795569059439
